2026-04-17 17:50:50,981 [WARNING] No se pudo cargar robots.txt (Cannot connect to host www.smurfitkappa.com:443 ssl:default [getaddrinfo failed]). Se asume acceso permitido.
2026-04-17 17:50:50,981 [INFO] Iniciando crawl async: https://www.smurfitkappa.com/co | concurrencia=10
2026-04-17 17:50:51,051 [WARNING] [ERROR intento 1/3] https://www.smurfitkappa.com/co: Cannot connect to host www.smurfitkappa.com:443 ssl:default [getaddrinfo failed] → reintentando en 2.0s
2026-04-17 17:50:53,821 [INFO] [OK] https://www.smurfitkappa.com/co | 4,204 chars | 3 chunks
2026-04-17 17:50:54,332 [INFO] --- Progreso: 1 páginas scrapeadas | 13 en cola ---
2026-04-17 17:50:54,655 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/fortune-names-smurfit-westrock-as-one-of-the-worlds-most-admired-companies | 2,108 chars | 2 chunks
2026-04-17 17:50:54,853 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/el-boletin-circular-marzo-2026 | 7,215 chars | 6 chunks
2026-04-17 17:50:54,937 [INFO] [OK] https://www.smurfitkappa.com/co/locations | 8,107 chars | 6 chunks
2026-04-17 17:50:55,198 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/paper-and-board/cartulina-optima | 1,625 chars | 2 chunks
2026-04-17 17:50:55,239 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/ecommerce-packaging | 4,014 chars | 3 chunks
2026-04-17 17:50:56,218 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/smurfit-westrock-named-worldwide-partner-of-the-ryder-cup-in-events-return-to-ireland | 4,504 chars | 4 chunks
2026-04-17 17:50:56,256 [INFO] [OK] https://www.smurfitkappa.com/co/stories/customer | 272 chars | 1 chunks
2026-04-17 17:50:56,283 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/planta-guarne-certificacion-leed-construccion-sostenible | 2,083 chars | 2 chunks
2026-04-17 17:50:56,381 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box | 3,343 chars | 3 chunks
2026-04-17 17:50:56,464 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/people/communities | 2,603 chars | 2 chunks
2026-04-17 17:50:56,501 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/industrial-packaging | 3,225 chars | 3 chunks
2026-04-17 17:50:56,521 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/sacos | 3,030 chars | 3 chunks
2026-04-17 17:50:57,562 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/retail-packaging | 5,756 chars | 5 chunks
2026-04-17 17:50:58,073 [INFO] --- Progreso: 14 páginas scrapeadas | 82 en cola ---
2026-04-17 17:50:58,965 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023 | 1,795 chars | 2 chunks
2026-04-17 17:50:59,007 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/media-resources | 1,433 chars | 1 chunks
2026-04-17 17:50:59,036 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/publications | 2,152 chars | 2 chunks
2026-04-17 17:50:59,077 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026 | 1,370 chars | 1 chunks
2026-04-17 17:50:59,100 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog | 1,309 chars | 1 chunks
2026-04-17 17:50:59,427 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025 | 1,552 chars | 1 chunks
2026-04-17 17:50:59,480 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022 | 1,836 chars | 2 chunks
2026-04-17 17:50:59,517 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/exposicion-fotografica-skcolombia | 1,406 chars | 1 chunks
2026-04-17 17:50:59,536 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024 | 1,655 chars | 2 chunks
2026-04-17 17:50:59,566 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/press-releases | 1,474 chars | 1 chunks
2026-04-17 17:50:59,758 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2021 | 1,646 chars | 2 chunks
2026-04-17 17:50:59,823 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2020 | 1,703 chars | 2 chunks
2026-04-17 17:51:00,012 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2018 | 1,693 chars | 2 chunks
2026-04-17 17:51:00,035 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2019 | 1,703 chars | 2 chunks
2026-04-17 17:51:00,062 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2017 | 1,545 chars | 1 chunks
2026-04-17 17:51:00,275 [INFO] [OK] https://www.smurfitkappa.com/co/stories/people | 307 chars | 1 chunks
2026-04-17 17:51:00,374 [INFO] [OK] https://www.smurfitkappa.com/co/stories/planet | 263 chars | 1 chunks
2026-04-17 17:51:00,454 [INFO] [OK] https://www.smurfitkappa.com/co/stories/community | 288 chars | 1 chunks
2026-04-17 17:51:00,572 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/approach/un-sdgs | 1,714 chars | 2 chunks
2026-04-17 17:51:00,585 [INFO] [OK] https://www.smurfitkappa.com/co/stories | 649 chars | 1 chunks
2026-04-17 17:51:01,100 [INFO] --- Progreso: 34 páginas scrapeadas | 197 en cola ---
2026-04-17 17:51:01,842 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/people/smurfit-westrock-foundation | 2,248 chars | 2 chunks
2026-04-17 17:51:02,027 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/people/safety-and-wellbeing | 1,771 chars | 2 chunks
